id,titulo_higienizado,descricao_higienizada,texto_final_higienizado,categoria,prioridade
2372,problema de conexao,o usuario relata que nao consegue se conectar a internet do trabalho apesar da rede estar funcionando,problema de conexao o usuario relata que nao consegue se conectar a internet do trabalho apesar da rede estar funcionando,Acesso,Baixa
2373,ruido de entrada wi fi,experimentei ruidos estranhos durante o uso do meu modem a conectividade e intermitentemente afetada mas nao esta causando desligamentos ou perda total,ruido de entrada wi fi experimentei ruidos estranhos durante o uso do meu modem a conectividade e intermitentemente afetada mas nao esta causando desligamentos ou perda total,Rede,Baixa
2374,sistemas de gerenciamento da informacao,aprisionada na tela o sistema operacional mostra apenas uma imagem preta enquanto estou tentando realizar a instalacao do sistema operacional,sistemas de gerenciamento da informacao aprisionada na tela o sistema operacional mostra apenas uma imagem preta enquanto estou tentando realizar a instalacao do sistema operacional,Infraestrutura,Baixa
2375,sistema de gerenciamento de contabilidade indisponivel,o usuario relata que o sistema contabil esta inacessivel e deseja uma solucao temporaria ate a reparacao,sistema de gerenciamento de contabilidade indisponivel o usuario relata que o sistema contabil esta inacessivel e deseja uma solucao temporaria ate a reparacao,Acesso,Baixa
2376,som sem audio,fiquei surpreso por nao ouvir nenhum som ao ligar o computador testei e confirmado que as configuracoes estao corretas mas ainda assim nada esta chegando na tela,som sem audio fiquei surpreso por nao ouvir nenhum som ao ligar o computador testei e confirmado que as configuracoes estao corretas mas ainda assim nada esta chegando na tela,Hardware,Baixa
2377,problemas de conexao wi fi,funcionario relata que apesar do roteador estar ligado e outros dispositivos terem acesso a internet com sucesso o computador pessoal nao consegue se conectar ao servico de rede,problemas de conexao wi fi funcionario relata que apesar do roteador estar ligado e outros dispositivos terem acesso a internet com sucesso o computador pessoal nao consegue se conectar ao servico de rede,Acesso,Baixa
2378,problemas na criacao do plano semanal,estamos tendo dificuldades no sistema de gerenciamento da empresa para criar planos semanais dos departamentos os erros aparecem quando tentamos inserir informacoes especificas,problemas na criacao do plano semanal estamos tendo dificuldades no sistema de gerenciamento da empresa para criar planos semanais dos departamentos os erros aparecem quando tentamos inserir informacoes especificas,Comunicação,Baixa
2379,perfil de rede mau,apos atualizar o firmware do roteador experimentei uma reducao na velocidade da internet e frequentes desconexoes o problema esta localizado em um unico canal wi fi,perfil de rede mau apos atualizar o firmware do roteador experimentei uma reducao na velocidade da internet e frequentes desconexoes o problema esta localizado em um unico canal wi fi,Rede,Baixa
2380,luz led do monitor fica vermelha,a luz amarela normal aparece mas apos alguns minutos ela muda para um tom de vermelho ajustei a configuracao da cor no painel e ainda assim o problema persiste,luz led do monitor fica vermelha a luz amarela normal aparece mas apos alguns minutos ela muda para um tom de vermelho ajustei a configuracao da cor no painel e ainda assim o problema persiste,Hardware,Baixa
2381,problemas intermitentes de conexao,ocorrem pausas frequentes na internet durante as atividades online como navegar ou jogar,problemas intermitentes de conexao ocorrem pausas frequentes na internet durante as atividades online como navegar ou jogar,Rede,Baixa
2382,galeria do fogo,o sistema de criacao e compartilhamento da galeria fogo apresenta erro na visualizacao dos itens ajuste as permissoes necessarias para que o usuario final possa acessar sem restricoes,galeria do fogo o sistema de criacao e compartilhamento da galeria fogo apresenta erro na visualizacao dos itens ajuste as permissoes necessarias para que o usuario final possa acessar sem restricoes,Comunicação,Alta
2383,navegacao interrompida no site da empresa,voce esta enfrentando problemas ao usar o navegador do trabalho para acessar o sistema de informacoes a pagina nao carrega e os links estao inacessiveis,navegacao interrompida no site da empresa voce esta enfrentando problemas ao usar o navegador do trabalho para acessar o sistema de informacoes a pagina nao carrega e os links estao inacessiveis,Comunicação,Alta
2384,problemas na conexao wi fi,ocorre falta de sinal ao tentar usar o wi fi no laptop,problemas na conexao wi fi ocorre falta de sinal ao tentar usar o wi fi no laptop,Comunicação,Baixa
2385,problemas intermitentes de conexao,atraves do sistema ocorrem falhas na rede wi fi a frequencia desses problemas nao e regular e parecem estar relacionados ao uso por outros dispositivos,problemas intermitentes de conexao atraves do sistema ocorrem falhas na rede wi fi a frequencia desses problemas nao e regular e parecem estar relacionados ao uso por outros dispositivos,Rede,Baixa
2386,problemas de rede no departamento,a equipe do setor esta enfrentando atrasos e instabilidades na conexao a internet impactando a comunicacao e o trabalho diario,problemas de rede no departamento a equipe do setor esta enfrentando atrasos e instabilidades na conexao a internet impactando a comunicacao e o trabalho diario,Acesso,Media
2387,desligar o roteador ocasionalmente,tenho observado que as vezes preciso desligar e ligar novamente meu roteador para restaurar a conexao de internet isso acontece uma ou duas vezes por semana,desligar o roteador ocasionalmente tenho observado que as vezes preciso desligar e ligar novamente meu roteador para restaurar a conexao de internet isso acontece uma ou duas vezes por semana,Rede,Baixa
2388,solicitacao de senha,o usuario solicitou uma nova senha devido a perda da informacao anterior ele precisa reiniciar o processo de recuperacao e requer orientacoes para a criacao da nova senha,solicitacao de senha o usuario solicitou uma nova senha devido a perda da informacao anterior ele precisa reiniciar o processo de recuperacao e requer orientacoes para a criacao da nova senha,Acesso,Baixa
2389,lampada led nao esta funcionando,eu tenho uma lampada led de estante que apesar de estar ligada a tomada e ter a energia verde no painel do disjuntor ainda nada acende esta e um modelo comum usado para iluminacao decorativa em ambientes residenciais,lampada led nao esta funcionando eu tenho uma lampada led de estante que apesar de estar ligada a tomada e ter a energia verde no painel do disjuntor ainda nada acende esta e um modelo comum usado para iluminacao decorativa em ambientes residenciais,Hardware,Media
2390,som de audio distorcido,o som do computador esta ficando cada vez mais distorcido especialmente quando sao reproduzidos videos,som de audio distorcido o som do computador esta ficando cada vez mais distorcido especialmente quando sao reproduzidos videos,Rede,Baixa
2391,bateria do laptop fica muito curta,meu notebook esta trabalhando normalmente mas acabou de ser desligado por algumas horas e a bateria agora nao dura mais que uma hora esta situacao aconteceu repentinamente sem nenhum fato especifico,bateria do laptop fica muito curta meu notebook esta trabalhando normalmente mas acabou de ser desligado por algumas horas e a bateria agora nao dura mais que uma hora esta situacao aconteceu repentinamente sem nenhum fato especifico,Hardware,Media
2392,gerar desligamento do roteador,ocorreu intermitencia de rede causando frequentes timeouts no uso da internet,gerar desligamento do roteador ocorreu intermitencia de rede causando frequentes timeouts no uso da internet,Rede,Alta
2393,problemas no sistema email,ocorreram tempos de espera prolongados ao enviar mensagens por e mail questoes intermitentes em qualquer cliente,problemas no sistema email ocorreram tempos de espera prolongados ao enviar mensagens por e mail questoes intermitentes em qualquer cliente,Comunicação,Baixa
2394,problemas de conexao,cliente relata dificuldade na interligacao do sistema erp devido ao novo firewall corporativo espera assistencia para restaurar a funcionalidade normal,problemas de conexao cliente relata dificuldade na interligacao do sistema erp devido ao novo firewall corporativo espera assistencia para restaurar a funcionalidade normal,Acesso,Media
2395,luz do monitor parou,a luz no meu monitor esta apagada mas o computador ainda roda tentei reiniciar a tela e verificar os niveis de energia da placa mae sem sucesso,luz do monitor parou a luz no meu monitor esta apagada mas o computador ainda roda tentei reiniciar a tela e verificar os niveis de energia da placa mae sem sucesso,Hardware,Baixa
2396,banco de dados lento,os usuarios estao relatando que o sistema basico do banco de dados esta demorando mais tempo para responder especialmente durante horas pico,banco de dados lento os usuarios estao relatando que o sistema basico do banco de dados esta demorando mais tempo para responder especialmente durante horas pico,Banco de Dados,Baixa
2397,sombras sobre conexao wi fi,eu notei que embora o roteador funcione bem durante o dia a noite parece ter dificuldade para manter a conexao a velocidade diminui e os sinais ficam fracos,sombras sobre conexao wi fi eu notei que embora o roteador funcione bem durante o dia a noite parece ter dificuldade para manter a conexao a velocidade diminui e os sinais ficam fracos,Rede,Baixa
2398,garagem interna sem iluminacao,a garagem interna da casa nao esta recebendo luz o sistema de fornalha que foi instalado ha alguns meses e deve ser operado com seguranca durante a noite agora e impossivel usar devido a falta de iluminacao adequada,garagem interna sem iluminacao a garagem interna da casa nao esta recebendo luz o sistema de fornalha que foi instalado ha alguns meses e deve ser operado com seguranca durante a noite agora e impossivel usar devido a falta de iluminacao adequada,Infraestrutura,Baixa
2399,roteador de rede sem interligacao,o roteador nao consegue se conectar automaticamente apos o reinicio exigindo configuracao manual todas as vezes,roteador de rede sem interligacao o roteador nao consegue se conectar automaticamente apos o reinicio exigindo configuracao manual todas as vezes,Rede,Baixa
2400,acesso de senha bloqueado,usuario solicita ajuda apos ter sua senha marcada como comprometida nao conseguindo acessar o sistema,acesso de senha bloqueado usuario solicita ajuda apos ter sua senha marcada como comprometida nao conseguindo acessar o sistema,Acesso,Media
2401,interrupcao de rede,desacordo constante e instabilidade na conexao wi fi da empresa afetando o acesso as aplicacoes online,interrupcao de rede desacordo constante e instabilidade na conexao wi fi da empresa afetando o acesso as aplicacoes online,Infraestrutura,Alta
2402,problemas no logon,usuario reporta que encontra problemas ao tentar fazer login inicialmente estava usando o nome de usucao correto e senha conhecida mas nao conseguiria acessar,problemas no logon usuario reporta que encontra problemas ao tentar fazer login inicialmente estava usando o nome de usucao correto e senha conhecida mas nao conseguiria acessar,Acesso,Baixa
2403,acesso restrito ao sistema,um funcionario nao consegue entrar no sistema de controle de estoque apesar de ter autorizacao para a atividade em questao,acesso restrito ao sistema um funcionario nao consegue entrar no sistema de controle de estoque apesar de ter autorizacao para a atividade em questao,Acesso,Media
2404,rede conecta e desconecta,a rede movel nao mantem uma ligacao constante esta intermitente causando problemas de comunicacoes,rede conecta e desconecta a rede movel nao mantem uma ligacao constante esta intermitente causando problemas de comunicacoes,Rede,Alta
2405,lampada led nao esta funcionando,a lampada que eu instalei no ultimo ano agora parece estar defeituosa pois ela nem se abre quando ligada ou acende nao acredito que haja problema com o interruptor da tomada,lampada led nao esta funcionando a lampada que eu instalei no ultimo ano agora parece estar defeituosa pois ela nem se abre quando ligada ou acende nao acredito que haja problema com o interruptor da tomada,Hardware,Baixa
2406,problemas de navegacao na pagina,o cliente relata que esta enfrentando dificuldades ao usar o site pois alguns links estao em branco e nao acessam as informacoes solicitadas,problemas de navegacao na pagina o cliente relata que esta enfrentando dificuldades ao usar o site pois alguns links estao em branco e nao acessam as informacoes solicitadas,Acesso,Baixa
2407,problemas na composicao do e mail,eu consigo enviar mensagens de texto normalmente mas ao tentar criar um e mail no aplicativo movel ou web a caixa de assunto fica preenchida com muitos caracteres que nao podem ser adicionados,problemas na composicao do e mail eu consigo enviar mensagens de texto normalmente mas ao tentar criar um e mail no aplicativo movel ou web a caixa de assunto fica preenchida com muitos caracteres que nao podem ser adicionados,Comunicação,Media
2408,atualizacao de software bloqueada,funcionario relatou que tentou realizar uma atualizacao do sistema mas o processo falha repetidamente aconteceu apos a instalacao da nova versao e nao ha erros visiveis na tela,atualizacao de software bloqueada funcionario relatou que tentou realizar uma atualizacao do sistema mas o processo falha repetidamente aconteceu apos a instalacao da nova versao e nao ha erros visiveis na tela,Acesso,Baixa
2409,query lenta,precisamos melhorar o desempenho da query que e executada semanalmente pelo departamento financeiro a consulta apesar de ser eficiente em termos de complexidade esta causando atrasos significativos nas analises do mes,query lenta precisamos melhorar o desempenho da query que e executada semanalmente pelo departamento financeiro a consulta apesar de ser eficiente em termos de complexidade esta causando atrasos significativos nas analises do mes,Banco de Dados,Baixa
2410,som no video,meu computador esta fazendo barulho alto quando estou ouvindo um audio e como se houvesse ruido em fundo,som no video meu computador esta fazendo barulho alto quando estou ouvindo um audio e como se houvesse ruido em fundo,Comunicação,Baixa
2411,luz led na tela cair,a luz de entrada parece ativa mas a tela do computador esta completamente escura ajustei o volume para verificar se e um problema de saida,luz led na tela cair a luz de entrada parece ativa mas a tela do computador esta completamente escura ajustei o volume para verificar se e um problema de saida,Hardware,Baixa
2412,som de audio distorcido,a telefonia ligada ao computador esta apresentando som estridente e desconfortavel,som de audio distorcido a telefonia ligada ao computador esta apresentando som estridente e desconfortavel,Rede,Baixa
2413,maquina de impressao,a maquina de impressao do escritorio esta operando lentamente e frequentemente travando durante o processamento apesar dos ajustes recentes a velocidade nao melhorou significativally,maquina de impressao a maquina de impressao do escritorio esta operando lentamente e frequentemente travando durante o processamento apesar dos ajustes recentes a velocidade nao melhorou significativally,Infraestrutura,Baixa
2414,problema de login,apos uma tentativa frustrada o usuario requisitou ajuda porque nao conseguiu acessar seu perfil devido a um erro em sua senha,problema de login apos uma tentativa frustrada o usuario requisitou ajuda porque nao conseguiu acessar seu perfil devido a um erro em sua senha,Acesso,Baixa
2415,computador bloqueando inicializacao,apos realizar uma atualizacao recentemente instalada o computador esta incapaz de iniciar a partir da tela do windows o sistema nao responde as teclas e nem exibe nenhum sinal no monitor,computador bloqueando inicializacao apos realizar uma atualizacao recentemente instalada o computador esta incapaz de iniciar a partir da tela do windows o sistema nao responde as teclas e nem exibe nenhum sinal no monitor,Hardware,Alta
2416,login falhou,o usuario informou ter recebido uma mensagem de erro ao tentar acessar o sistema ele ja verificou que inseriu os dados corretamente mas esta com problemas para prosseguir,login falhou o usuario informou ter recebido uma mensagem de erro ao tentar acessar o sistema ele ja verificou que inseriu os dados corretamente mas esta com problemas para prosseguir,Acesso,Baixa
2417,assistencia na criacao de planilha,preciso criar uma planilha do excel e nao consigo encontrar o botao inserir por favor ajude,assistencia na criacao de planilha preciso criar uma planilha do excel e nao consigo encontrar o botao inserir por favor ajude,Comunicação,Baixa
2418,problemas intermitentes de conexao,os usuarios estao experimentando uma desconexao frequente do wi fi especialmente durante os horarios em que a rede e mais utilizada,problemas intermitentes de conexao os usuarios estao experimentando uma desconexao frequente do wi fi especialmente durante os horarios em que a rede e mais utilizada,Rede,Media
2419,tratamento atraso no banco,nos ultimos dias houve notorio aumento na duracao dos processamentos nos nossos sistemas de gerenciamento do banco os dados armazenados estao demorando para serem recuperados e isso esta afetando o planejamento das atividades da equipe,tratamento atraso no banco nos ultimos dias houve notorio aumento na duracao dos processamentos nos nossos sistemas de gerenciamento do banco os dados armazenados estao demorando para serem recuperados e isso esta afetando o planejamento das atividades da equipe,Banco de Dados,Media
2420,lixo na instalacao,ha acumulo de lixo nos corredores da empresa causando problemas nas rotas dos caminhoes e atrasos no servico,lixo na instalacao ha acumulo de lixo nos corredores da empresa causando problemas nas rotas dos caminhoes e atrasos no servico,Infraestrutura,Baixa
2421,dificuldade na conexao wi fi,cliente relata problemas de conectividade a sua rede sem fio domestica apesar do roteador estar ativo e outros dispositivos se conectando normalmente,dificuldade na conexao wi fi cliente relata problemas de conectividade a sua rede sem fio domestica apesar do roteador estar ativo e outros dispositivos se conectando normalmente,Acesso,Baixa
2422,problemas de navegacao do site,o cliente relata que esta encontrando dificuldades na visualizacao e uso da nossa plataforma online apesar de ter acessado com sucesso no passado,problemas de navegacao do site o cliente relata que esta encontrando dificuldades na visualizacao e uso da nossa plataforma online apesar de ter acessado com sucesso no passado,Acesso,Baixa
2423,acessando documentos,o usuario precisa recuperar arquivos de trabalho perdidos e nao consegue encontra los no local atual,acessando documentos o usuario precisa recuperar arquivos de trabalho perdidos e nao consegue encontra los no local atual,Acesso,Baixa
2424,som mudo no laptop,o som parece estar ausente quando uso o aplicativo de video mesmo que esteja em volume alto verifiquei outros dispositivos e tudo funciona normalmente,som mudo no laptop o som parece estar ausente quando uso o aplicativo de video mesmo que esteja em volume alto verifiquei outros dispositivos e tudo funciona normalmente,Hardware,Baixa
2425,luz led do monitor desligando,o meu monitor esta funcionando mas as luzes led da tela comecaram a apagar e nao estao reativando esse problema acontece de forma aleatoria,luz led do monitor desligando o meu monitor esta funcionando mas as luzes led da tela comecaram a apagar e nao estao reativando esse problema acontece de forma aleatoria,Hardware,Baixa
2426,alimentador de energia falhando,o alimentador principal da estacao esta apresentando mau funcionamento causando interrupcoes no fornecimento continuo de energia para a unidade central,alimentador de energia falhando o alimentador principal da estacao esta apresentando mau funcionamento causando interrupcoes no fornecimento continuo de energia para a unidade central,Infraestrutura,Alta
2427,som ausente,o som saido do alto falante esta muito fraco o volume parece estar configurado corretamente mas o audio nao e claro,som ausente o som saido do alto falante esta muito fraco o volume parece estar configurado corretamente mas o audio nao e claro,Hardware,Baixa
2428,wi fi instaveis,ocorre perda de sinal wi fi recorrente afetando o trabalho remoto durante as horas do almoco,wi fi instaveis ocorre perda de sinal wi fi recorrente afetando o trabalho remoto durante as horas do almoco,Rede,Media
2429,problemas ao enviar e mails internamente,ocorre que alguns emails incluindo anexos estao indisponiveis para acesso da equipe de vendas estamos usando o outlook como plataforma principal,problemas ao enviar e mails internamente ocorre que alguns emails incluindo anexos estao indisponiveis para acesso da equipe de vendas estamos usando o outlook como plataforma principal,Comunicação,Media
2430,problemas de navegacao,descreve como o usuario esta tendo dificuldades na localizacao dos recursos da interface do sistema mas nao ha comprometimento no acesso ao mesmo,problemas de navegacao descreve como o usuario esta tendo dificuldades na localizacao dos recursos da interface do sistema mas nao ha comprometimento no acesso ao mesmo,Acesso,Baixa
2431,login falhado do usuario,a equipa de vendas nao conseguiu entrar no sistema da empresa devido a uma mensagem usuario e senha incorretos acesso necessario para finalizar transacoes importantes,login falhado do usuario a equipa de vendas nao conseguiu entrar no sistema da empresa devido a uma mensagem usuario e senha incorretos acesso necessario para finalizar transacoes importantes,Acesso,Alta
2432,incomodo no menu principal,a equipe do servico informa que ha dificuldade ao navegar pelo sistema devido a um bug recorrente mas e urgente,incomodo no menu principal a equipe do servico informa que ha dificuldade ao navegar pelo sistema devido a um bug recorrente mas e urgente,Acesso,Baixa
2433,dificuldade de conexao,funcionario relata que esta enfrentando problemas intermitentes ao se conectar a rede interna mas acredita ser um problema temporario pois ja conseguiu fazer login varias vezes antes,dificuldade de conexao funcionario relata que esta enfrentando problemas intermitentes ao se conectar a rede interna mas acredita ser um problema temporario pois ja conseguiu fazer login varias vezes antes,Acesso,Baixa
2434,problemas de conectividade na rede,o cliente relata ter intermitencias ao se conectar a internet e nao consegue acessar o site corporativo as tentativas eram feitas via wi fi mas sem sucesso,problemas de conectividade na rede o cliente relata ter intermitencias ao se conectar a internet e nao consegue acessar o site corporativo as tentativas eram feitas via wi fi mas sem sucesso,Acesso,Media
2435,problema na criacao da conta,preciso de ajuda ao tentar criar uma nova conta no portal educacional mas estou recebendo um erro de autenticacao,problema na criacao da conta preciso de ajuda ao tentar criar uma nova conta no portal educacional mas estou recebendo um erro de autenticacao,Comunicação,Media
2436,sincronizacao do horario,nao estou conseguindo sincronizar meus relogios de escritorio todos parecem estar diferindo em alguns segundos da hora oficial,sincronizacao do horario nao estou conseguindo sincronizar meus relogios de escritorio todos parecem estar diferindo em alguns segundos da hora oficial,Comunicação,Baixa
2437,gravacao de audio interrompida,quando estou gravando uma apresentacao o som comeca e termina abruptamente sem motivo aparente,gravacao de audio interrompida quando estou gravando uma apresentacao o som comeca e termina abruptamente sem motivo aparente,Rede,Media
2438,informacao de senha nao recebida,o funcionario solicitou recuperar informacoes do e mail mas nao conseguiu obter o novo codigo para a senha,informacao de senha nao recebida o funcionario solicitou recuperar informacoes do e mail mas nao conseguiu obter o novo codigo para a senha,Acesso,Media
2439,motorola moto g falha ao ligar,ocelote minhas tentativas de inicializar o meu motorola moto g resultam em uma mensagem verifique a bateria ademais ha um odor desagradavel vindo do painel traseiro precisa ser investigado,motorola moto g falha ao ligar ocelote minhas tentativas de inicializar o meu motorola moto g resultam em uma mensagem verifique a bateria ademais ha um odor desagradavel vindo do painel traseiro precisa ser investigado,Hardware,Media
2440,problemas de conexao,cliente relata ter dificuldade em se conectar a internet no escritorio,problemas de conexao cliente relata ter dificuldade em se conectar a internet no escritorio,Acesso,Baixa
2441,aplicativo bloqueando notificacoes,o aplicativo de mensagens esta impedindo que as notificacoes do dispositivo sejam recebidas causando desconforto para o usuario,aplicativo bloqueando notificacoes o aplicativo de mensagens esta impedindo que as notificacoes do dispositivo sejam recebidas causando desconforto para o usuario,Comunicação,Media
2442,problemas de navegacao interna,um usuario relata dificuldade na localizacao do documento especifico necessario para o trabalho acredita se que esteja relacionado a uma possivel atualizacao recente da interface,problemas de navegacao interna um usuario relata dificuldade na localizacao do documento especifico necessario para o trabalho acredita se que esteja relacionado a uma possivel atualizacao recente da interface,Acesso,Baixa
2443,luzes intermitentes,algumas lampadas de infraestrutura na planta industrial estao apresentando piscaramento irregular sem impactar a visibilidade no local,luzes intermitentes algumas lampadas de infraestrutura na planta industrial estao apresentando piscaramento irregular sem impactar a visibilidade no local,Infraestrutura,Baixa
2444,bateria pc desgastada,a bateria do meu computador esta ficando velha e nao mantem a carga por muito tempo preciso troca la para continuar usando o laptop,bateria pc desgastada a bateria do meu computador esta ficando velha e nao mantem a carga por muito tempo preciso troca la para continuar usando o laptop,Hardware,Baixa
2445,usuario sem conexao,o usuario relata ter problemas intermitentes de rede por acaso nao consegue acessar o servico interno nem se comunicar via e mail,usuario sem conexao o usuario relata ter problemas intermitentes de rede por acaso nao consegue acessar o servico interno nem se comunicar via e mail,Acesso,Baixa
2446,suporte web,a pagina de login do site estranha nao reconhece senhas atualizadas ocorre o erro erro interno,suporte web a pagina de login do site estranha nao reconhece senhas atualizadas ocorre o erro erro interno,Comunicação,Baixa
2447,som apagando,estou ouvindo estalos e som de desligamento no meu pc mas o computador nao esta reiniciando o problema persiste mesmo apos a espera do sistema operacional,som apagando estou ouvindo estalos e som de desligamento no meu pc mas o computador nao esta reiniciando o problema persiste mesmo apos a espera do sistema operacional,Comunicação,Baixa
2448,consulta lenta,uma consulta no banco de dados esta apresentando tempos excepcionalmente longos para serem executados causando atrasos nos relatorios diarios,consulta lenta uma consulta no banco de dados esta apresentando tempos excepcionalmente longos para serem executados causando atrasos nos relatorios diarios,Banco de Dados,Baixa
2449,movimento ritmico no monitor,o monitor fica vibrando ocasionalmente durante o uso normal o som nao e alto mas notavel ao usar a tela de trabalho,movimento ritmico no monitor o monitor fica vibrando ocasionalmente durante o uso normal o som nao e alto mas notavel ao usar a tela de trabalho,Hardware,Baixa
2450,sincronizacao db lenta,tarefa automatica da nossa aplicacao esta atrasada na sincronizacao dos dados do banco de destino em relacao ao horario esperado,sincronizacao db lenta tarefa automatica da nossa aplicacao esta atrasada na sincronizacao dos dados do banco de destino em relacao ao horario esperado,Banco de Dados,Baixa
2451,problemas de conexao,o cliente relata ter problemas intermitentes na rede interna que afetam sua capacidade de se conectar a aplicativos corporativos,problemas de conexao o cliente relata ter problemas intermitentes na rede interna que afetam sua capacidade de se conectar a aplicativos corporativos,Acesso,Media
2452,problema de conexao wifi,o cliente relata que nao consegue se conectar a rede sem fio em casa e tentou reiniciar o roteador sem sucesso,problema de conexao wifi o cliente relata que nao consegue se conectar a rede sem fio em casa e tentou reiniciar o roteador sem sucesso,Acesso,Baixa
2453,camera sem flash nao liga,a camera digital que compro no ultimo mes nao possui o hardware de um suprimento automatico de iluminacao o uso do botao manual parece funcionar mas preferiria ter a opcao automatizada para fotos em condicoes variadas,camera sem flash nao liga a camera digital que compro no ultimo mes nao possui o hardware de um suprimento automatico de iluminacao o uso do botao manual parece funcionar mas preferiria ter a opcao automatizada para fotos em condicoes variadas,Hardware,Baixa
2454,perfil de usuario atualizado,o suporte tecnico precisa confirmar se o ultimo recurso do sistema foi aplicado corretamente e que as alteracoes refletem na pagina inicial sem problemas,perfil de usuario atualizado o suporte tecnico precisa confirmar se o ultimo recurso do sistema foi aplicado corretamente e que as alteracoes refletem na pagina inicial sem problemas,Acesso,Baixa
2455,som ausente,a maquina esta ligada mas nao ha som testei o alto falante e parece que ele funciona,som ausente a maquina esta ligada mas nao ha som testei o alto falante e parece que ele funciona,Hardware,Media
2456,comunicacoes via email nao funcionam,eu tenho problemas ao enviar e receber mensagens por e mail algumas das minhas correspondencias estao ficando perdidas ou atrasadas inexplicavelmente,comunicacoes via email nao funcionam eu tenho problemas ao enviar e receber mensagens por e mail algumas das minhas correspondencias estao ficando perdidas ou atrasadas inexplicavelmente,Comunicação,Baixa
2457,rede lenta,a conexao a internet no computador e mais lenta do que de costume levando cerca de meia hora para carregar a pagina inicial e outros sites,rede lenta a conexao a internet no computador e mais lenta do que de costume levando cerca de meia hora para carregar a pagina inicial e outros sites,Rede,Baixa
2458,problemas de conexao wi fi,o usuario relata que ha uma intermitencia na rede sem fio em seu escritorio e acesso a internet esta irregular isso afeta o trabalho remoto,problemas de conexao wi fi o usuario relata que ha uma intermitencia na rede sem fio em seu escritorio e acesso a internet esta irregular isso afeta o trabalho remoto,Acesso,Baixa
2459,somando o sinal wi fi,ocorre perda de conexao intermitente do wi fi especialmente durante os horarios pico da tarde,somando o sinal wi fi ocorre perda de conexao intermitente do wi fi especialmente durante os horarios pico da tarde,Rede,Baixa
2460,sistema informativo sem conexao,o sistema de comunicacao corporativa nao esta disponivel impedindo o trabalho remoto,sistema informativo sem conexao o sistema de comunicacao corporativa nao esta disponivel impedindo o trabalho remoto,Comunicação,Media
2461,computador estranho,sempre que eu tento ligar o pc vejo uma imagem repetitiva de um coracao e logo depois ele desliga sem aviso previo tambem notei que a placa mae esta superaquecendo,computador estranho sempre que eu tento ligar o pc vejo uma imagem repetitiva de um coracao e logo depois ele desliga sem aviso previo tambem notei que a placa mae esta superaquecendo,Hardware,Alta
2462,conexao wi fi instavel,os funcionarios estao experimentando conexoes intermitentes e baixas velocidades na rede sem fio do escritorio,conexao wi fi instavel os funcionarios estao experimentando conexoes intermitentes e baixas velocidades na rede sem fio do escritorio,Infraestrutura,Baixa
2463,inacessibilizacao de conta,funcionario apresentou se sem poder entrar no sistema devido a uma possivel alteracao da senha,inacessibilizacao de conta funcionario apresentou se sem poder entrar no sistema devido a uma possivel alteracao da senha,Acesso,Media
2464,rede instavel intermitente,a conexao de rede e frequentemente lenta e as vezes nao esta disponivel ocorre principalmente durante as horas do almoco em casa,rede instavel intermitente a conexao de rede e frequentemente lenta e as vezes nao esta disponivel ocorre principalmente durante as horas do almoco em casa,Rede,Baixa
2465,dificuldade na conexao de rede,um cliente relata problemas ao tentar se conectar a internet via wi fi o erro connessione nao estabelecida persiste apesar das seguintes verificacoes atualizacao da configuracao de rede limpeza do cache dns e reinicializacao dos dispositivos,dificuldade na conexao de rede um cliente relata problemas ao tentar se conectar a internet via wi fi o erro connessione nao estabelecida persiste apesar das seguintes verificacoes atualizacao da configuracao de rede limpeza do cache dns e reinicializacao dos dispositivos,Acesso,Media
2466,conectividade intermitente na rede,a conexao a internet esta se tornando instavel o que afeta negativamente a produtividade diaria requer solucao pronta,conectividade intermitente na rede a conexao a internet esta se tornando instavel o que afeta negativamente a produtividade diaria requer solucao pronta,Rede,Media
2467,luz led piscar,a lampada de teto esta piscando sem interrupcao nao ha nenhuma perturbacao no computador ou outros dispositivos,luz led piscar a lampada de teto esta piscando sem interrupcao nao ha nenhuma perturbacao no computador ou outros dispositivos,Hardware,Baixa
2468,roda de roteadores mal funcionando,temos problemas intermitentes conectividade na rede corporativa ocorrem desconexoes frequentes dos clientes especialmente quando muitas pessoas estao utilizando a internet simultaneamente,roda de roteadores mal funcionando temos problemas intermitentes conectividade na rede corporativa ocorrem desconexoes frequentes dos clientes especialmente quando muitas pessoas estao utilizando a internet simultaneamente,Rede,Media
2469,somente audio no chat,tenho dificuldade de ver o video durante nossa conversa pelo slack apenas a imagem fica clara,somente audio no chat tenho dificuldade de ver o video durante nossa conversa pelo slack apenas a imagem fica clara,Comunicação,Baixa
2470,energia luz,a lampada de sinalizacao no jardim da empresa esta fraca e dificil de ver a noite,energia luz a lampada de sinalizacao no jardim da empresa esta fraca e dificil de ver a noite,Infraestrutura,Baixa
2471,sistema de gerenciamento da estacao,durante o ultimo mes os funcionarios relataram que ha desaceleracao no sistema de gerenciamento da estacao esse problema afeta a precisao das entradas e saidas dos trens,sistema de gerenciamento da estacao durante o ultimo mes os funcionarios relataram que ha desaceleracao no sistema de gerenciamento da estacao esse problema afeta a precisao das entradas e saidas dos trens,Infraestrutura,Media
